created_at,DATE,entry_id,Temperature(C),Turbidity(NTU),Dissolved Oxygen(g/ml),PH,Ammonia(g/ml),Nitrate(g/ml),Fish_length(cm),Fish_weight(g)
2021-06-18 12:11:39 CET,18-06-2021,1,27.7,97,7.329,8.48358,0.05393,0,6.947142857,4.371428571
2021-06-18 12:12:08 CET,18-06-2021,2,27.7,97,7.659,8.40641,0.13203,0,6.947142857,4.371428571
2021-06-18 12:12:28 CET,18-06-2021,3,27.7,96,11.23,8.41095,0.27792,0,6.947142857,4.371428571
2021-06-18 12:12:48 CET,18-06-2021,4,27,45,9.828,8.40641,0.04398,813,6.947142857,4.371428571
2021-06-18 12:13:07 CET,18-06-2021,5,27,45,9.623,8.40641,0.00052,1255,6.947142857,4.371428571
2021-06-18 12:13:27 CET,18-06-2021,6,27,45,9.873,8.48358,0.00063,1119,6.947142857,4.371428571
2021-06-18 12:13:46 CET,18-06-2021,7,26.9375,47,7.186,8.42003,0.00082,999,6.947142857,4.371428571
2021-06-18 12:14:06 CET,18-06-2021,8,26.9375,46,8.614,8.39733,0.00108,882,6.947142857,4.371428571
2021-06-18 12:17:10 CET,18-06-2021,9,26.6875,14,10.087,8.42003,0.1091,676,6.947142857,4.371428571
2021-06-18 12:17:32 CET,18-06-2021,10,26.6875,14,6.713,8.40641,0.00113,670,6.947142857,4.371428571
2021-06-18 12:17:52 CET,18-06-2021,11,26.6875,14,6.097,8.40641,0.00225,399,6.947142857,4.371428571
2021-06-18 12:18:11 CET,18-06-2021,12,26.625,14,9.525,8.42003,0.00718,326,6.947142857,4.371428571
2021-06-18 12:18:31 CET,18-06-2021,13,26.625,15,5.918,8.40641,0.02346,291,6.947142857,4.371428571
2021-06-18 12:18:48 CET,18-06-2021,14,26.625,12,8.891,8.40641,0.05393,270,6.947142857,4.371428571
2021-06-18 12:19:07 CET,18-06-2021,15,26.5625,13,7.302,8.40641,0.13203,247,6.947142857,4.371428571
2021-06-18 12:19:27 CET,18-06-2021,16,26.625,15,7.846,8.40641,0.27792,226,6.947142857,4.371428571
2021-06-18 12:19:46 CET,18-06-2021,17,26.5625,15,12.185,8.40641,0.57801,218,6.947142857,4.371428571
2021-06-18 12:20:06 CET,18-06-2021,18,26.5,16,15.292,8.40187,0.84142,208,6.947142857,4.371428571
2021-06-18 12:20:28 CET,18-06-2021,19,26.4375,16,11.873,8.40641,0.29112,202,6.947142857,4.371428571
2021-06-18 12:20:48 CET,18-06-2021,20,26.4375,15,8.989,8.40641,0.45146,196,6.947142857,4.371428571
2021-06-18 12:21:08 CET,18-06-2021,21,26.4375,16,7.32,8.42003,0.46426,182,6.947142857,4.371428571
2021-06-18 12:21:28 CET,18-06-2021,22,26.4375,16,8.043,8.55167,0.47739,179,6.947142857,4.371428571
2021-06-18 12:22:24 CET,18-06-2021,23,26.375,15,4.374,8.40641,0.46985,180,6.947142857,4.371428571
2021-06-18 12:22:44 CET,18-06-2021,24,26.375,15,8.507,8.40641,0.48121,170,6.947142857,4.371428571
2021-06-18 12:23:03 CET,18-06-2021,25,26.25,14,6.132,8.39733,0.52927,176,6.947142857,4.371428571
2021-06-18 12:23:23 CET,18-06-2021,26,26.3125,15,10.48,8.41095,0.48121,169,6.947142857,4.371428571
2021-06-18 12:23:42 CET,18-06-2021,27,26.3125,13,9.355,8.42911,0.45691,178,6.947142857,4.371428571
2021-06-18 12:24:02 CET,18-06-2021,28,26.25,14,7.32,8.40187,0.47172,170,6.947142857,4.371428571
2021-06-18 12:24:22 CET,18-06-2021,29,26.25,13,10.525,8.40187,0.37216,177,6.947142857,4.371428571
2021-06-18 12:24:41 CET,18-06-2021,30,26.25,14,7.088,8.42003,0.47172,176,6.947142857,4.371428571
2021-06-18 12:25:01 CET,18-06-2021,31,26.25,14,12.488,8.40641,0.48505,175,6.947142857,4.371428571
2021-06-18 12:25:20 CET,18-06-2021,32,26.25,13,8.141,8.40641,0.34169,176,6.947142857,4.371428571
2021-06-18 12:25:40 CET,18-06-2021,33,26.25,13,18.309,8.40641,0.46612,166,6.947142857,4.371428571
2021-06-18 12:26:00 CET,18-06-2021,34,26.25,13,9.239,8.41549,0.46798,176,6.947142857,4.371428571
2021-06-18 12:26:19 CET,18-06-2021,35,26.3125,12,9.212,8.40641,0.46241,175,6.947142857,4.371428571
2021-06-18 12:26:39 CET,18-06-2021,36,26.25,14,8.828,8.41095,0.48313,176,6.947142857,4.371428571
2021-06-18 12:26:58 CET,18-06-2021,37,26.3125,14,10.917,8.41095,0.47739,175,6.947142857,4.371428571
