sample_id,timestamp,orp_mV,ec_uScm,tds_mgL,turbidity_NTU,temp_C,pH,do_mgL,class
1507,2026-01-06 05:30:00,594.66,19.14,6.07,130.13,21.86,9.35,11.69,Warning
1768,2026-01-07 03:15:00,593.54,1831.09,1017.97,52.15,20.17,9.32,2.33,Warning
890,2026-01-04 02:05:00,495.26,40.52,29.74,35.69,30.1,6.49,9.09,Caution
307,2026-01-02 01:30:00,281.85,442.84,221.24,17.3,25.51,7.71,6.09,Normal
1774,2026-01-07 03:45:00,510.28,1790.43,859.0,132.55,32.56,5.62,2.82,Warning
110,2026-01-01 09:05:00,295.25,234.11,146.7,15.44,26.6,7.29,7.43,Normal
1652,2026-01-06 17:35:00,528.38,1390.4,610.64,118.68,22.14,5.74,11.78,Warning
1658,2026-01-06 18:05:00,25.95,1089.92,669.06,120.21,21.27,5.63,11.94,Warning
1907,2026-01-07 14:50:00,678.55,3106.85,1798.67,352.53,37.74,4.74,1.58,Severe
720,2026-01-03 11:55:00,100.09,769.62,412.94,45.68,30.69,6.11,9.16,Caution
252,2026-01-01 20:55:00,243.43,343.1,166.15,3.61,25.16,7.06,7.46,Normal
241,2026-01-01 20:00:00,302.6,399.49,244.82,20.45,27.2,6.54,7.58,Normal
635,2026-01-03 04:50:00,241.09,497.67,294.04,14.33,28.79,7.32,6.37,Normal
2132,2026-01-08 09:35:00,-116.65,3816.1,1931.01,221.02,36.63,9.59,1.11,Severe
30,2026-01-01 02:25:00,351.09,260.32,124.35,19.83,27.98,8.43,8.73,Normal
1106,2026-01-04 20:05:00,146.21,41.16,13.35,25.03,23.94,8.83,4.64,Caution
1086,2026-01-04 18:25:00,50.87,585.2,381.26,36.78,24.42,6.4,4.71,Caution
621,2026-01-03 03:40:00,205.98,189.83,92.74,4.85,29.57,8.12,8.64,Normal
2018,2026-01-08 00:05:00,-115.72,8.88,4.96,291.49,16.21,9.76,0.73,Severe
136,2026-01-01 11:15:00,340.65,266.27,133.41,11.95,28.72,8.46,8.06,Normal
1876,2026-01-07 12:15:00,773.77,3.72,6.91,483.99,34.57,10.37,12.21,Severe
1223,2026-01-05 05:50:00,80.64,802.15,404.22,37.54,23.27,6.18,9.41,Caution
459,2026-01-02 14:10:00,256.43,269.17,139.23,5.43,28.69,6.61,5.68,Normal
1981,2026-01-07 21:00:00,-185.69,9.36,0.53,252.36,16.95,5.07,12.02,Severe
283,2026-01-01 23:30:00,276.92,375.54,210.46,21.86,25.63,7.62,8.01,Normal
2106,2026-01-08 07:25:00,-92.44,4.23,7.19,162.2,17.46,10.15,12.31,Severe
1684,2026-01-06 20:15:00,568.22,10.27,8.59,136.4,33.77,9.31,10.6,Warning
1594,2026-01-06 12:45:00,590.06,1977.87,846.73,96.38,21.38,9.28,3.6,Warning
1867,2026-01-07 11:30:00,-85.85,1.07,8.65,539.57,15.4,9.69,15.46,Severe
304,2026-01-02 01:15:00,389.24,314.38,168.68,16.94,26.61,7.67,7.79,Normal
1122,2026-01-04 21:25:00,119.35,500.01,302.8,26.49,31.13,8.71,4.7,Caution
308,2026-01-02 01:35:00,298.36,316.11,155.75,9.13,28.67,6.94,8.31,Normal
2014,2026-01-07 23:45:00,-137.61,2204.01,1400.1,405.11,17.12,5.07,1.98,Severe
889,2026-01-04 02:00:00,75.47,817.41,486.46,25.1,24.13,8.67,9.94,Caution
1197,2026-01-05 03:40:00,474.22,44.22,22.58,41.19,30.08,6.4,9.97,Caution
433,2026-01-02 12:00:00,288.17,244.55,156.5,20.84,27.76,7.39,6.64,Normal
388,2026-01-02 08:15:00,262.82,334.6,196.97,4.83,28.56,7.01,7.63,Normal
1139,2026-01-04 22:50:00,464.67,527.09,341.52,34.91,24.87,8.84,9.57,Caution
932,2026-01-04 05:35:00,423.71,531.46,308.1,46.3,31.95,6.48,4.67,Caution
938,2026-01-04 06:05:00,474.75,47.77,20.03,33.04,30.53,6.49,9.37,Caution
300,2026-01-02 00:55:00,373.14,412.6,234.21,6.93,28.96,7.69,8.01,Normal
1552,2026-01-06 09:15:00,27.31,1544.83,966.32,143.85,33.57,5.75,3.23,Warning
169,2026-01-01 14:00:00,221.1,186.71,86.79,21.98,28.97,6.74,8.35,Normal
1748,2026-01-07 01:35:00,531.56,17.25,19.29,63.3,21.47,5.72,2.9,Warning
840,2026-01-03 21:55:00,132.01,732.72,464.57,49.68,24.14,6.24,9.29,Caution
768,2026-01-03 15:55:00,138.85,627.27,317.02,41.48,24.74,6.38,4.73,Caution
1467,2026-01-06 02:10:00,611.89,17.61,19.01,70.81,33.2,5.56,3.22,Warning
531,2026-01-02 20:10:00,389.79,449.46,266.48,7.8,29.78,7.43,6.12,Normal
351,2026-01-02 05:10:00,157.07,301.4,164.38,7.78,28.47,8.25,5.16,Normal
135,2026-01-01 11:10:00,233.53,159.89,96.72,22.9,27.45,7.59,7.53,Normal
1736,2026-01-07 00:35:00,31.66,1386.48,719.12,138.62,32.74,9.46,3.03,Warning
1503,2026-01-06 05:10:00,563.5,1014.36,543.79,82.57,20.95,9.21,3.91,Warning
716,2026-01-03 11:35:00,465.56,45.08,24.09,42.32,24.11,8.62,4.24,Caution
1186,2026-01-05 02:45:00,437.74,530.2,273.23,32.29,23.46,6.43,9.52,Caution
